鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,建物,桃園市中壢區成章四街67巷1~30號,0.0,住,,,1041130,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761211,90.11,3,2,2,有,無,無,8000,89,,0.0,0,,RPUOMLRJKIKFFBH78CC
桃園區,房地(土地+建物),桃園市桃園區守法路50巷1~30號,81.0,住,,,1041130,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681226,54.33,2,1,1,有,無,有,10000,184,,0.0,0,,RPPQMLRJKIKFFAH38CC
八德區,房地(土地+建物),桃園市八德區豐田三路61~90號,126.22,住,,,1041106,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,1011106,128.48,1,1,2,有,無,無,17000,132,,0.0,0,,RPRNMLRJKIKFFFH98EC
中壢區,建物,桃園市中壢區環中東路211~240號,22.1,住,,,1041201,土地0建物1車位0,一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0930515,169.15,0,0,0,無,無,無,70000,414,,0.0,0,,RPXOMLSJKIKFFBH56CC
八德區,土地,永福段451~480地號,90.21,住,,,1041203,土地1建物0車位0,,,其他,,,,0.0,1,0,0,有,無,無,6500,72,,0.0,0,"建物未辦理保存登,此建物改二間套房出租",RPWOMLKKKIKFFFH78CC
大園區,房地(土地+建物)+車位,桃園市大園區領航北路四段361~390號,26.77,住,,,1041121,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970401,122.3,3,2,2,有,有,有,18000,147,坡道平面,27.15,0,,RPXNMLKKKIKFFEH78DC
中壢區,房地(土地+建物),桃園市中壢區華美一路161巷1~30號,25.5,住,,,1041126,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700108,66.48,3,2,1,有,無,有,7000,105,,0.0,0,,RPURMLKKKIKFFBH58DC
觀音區,房地(土地+建物),桃園市觀音區新富路271~300號,79.83,,特定農業區,甲種建築用地,1041014,土地3建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0990430,201.33,4,3,3,有,無,無,18000,89,,0.0,0,,RPVTMLKKKIKFFBH88DC
中壢區,房地(土地+建物),桃園市中壢區吉林路77巷1~30號,141.0,,工業區,丁種建築用地,1041111,土地1建物2車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0730130,279.66,6,2,4,有,無,無,33000,118,,0.0,0,,RPXQMLLKKIKFFBH88DC
中壢區,房地(土地+建物),桃園市中壢區桃園市中壢區忠孝路331~360號,82.5,住,,,1041113,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0661125,121.0,0,1,1,有,無,無,50000,413,,0.0,0,,RPPRMLLKKIKFFBH18DC
中壢區,房地(土地+建物),桃園市中壢區中北路二段181~210號,107.53,住,,,1041125,土地1建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0970201,61.67,0,1,1,有,有,無,21000,341,,0.0,0,,RPQRMLLKKIKFFBH28DC
龍潭區,房地(土地+建物),桃園市龍潭區龍潭區渴望路243巷1~30號,0.33,,山坡地保育區,丙種建築用地,1041017,土地1建物1車位0,二層,7,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0880513,26.44,1,1,1,有,無,有,9800,371,,0.0,0,,RPUNMLLKKIKFFCH28CC
龍潭區,房地(土地+建物),桃園市龍潭區龍潭區渴望路243巷1~30號,0.33,,山坡地保育區,丙種建築用地,1041031,土地1建物1車位0,三層,7,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0880513,26.44,1,1,1,有,無,有,7500,284,,0.0,0,,RPWNMLLKKIKFFCH48CC
龍潭區,房地(土地+建物),桃園市龍潭區龍潭區渴望路243巷1~30號,0.33,,山坡地保育區,丙種建築用地,1041031,土地1建物1車位0,二層,7,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0880513,26.44,1,1,1,有,無,有,7500,284,,0.0,0,,RPOOMLLKKIKFFCH77CC
龍潭區,房地(土地+建物),桃園市龍潭區龍潭區渴望路243巷1~30號,0.33,,山坡地保育區,丙種建築用地,1041107,土地1建物1車位0,三層,7,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0880513,26.44,1,1,1,有,無,有,8500,321,,0.0,0,,RPQOMLLKKIKFFCH97CC
